lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84779328478055,2022,Forsling-Ekblad,FLA,pairing,5on5,3,1842.0,8.0,0.44,0.43,0.4,12.26,1.61,0.95,2.62,0.43,6.72,4.68,1.55,1.73,1.66,14.0,3.0,7.0,24.0,1.0,1.0,0.0,5.0,0.0,3.0,7.0,13.0,16.0,1.0,2.0,24.0,8.0,3.0,5.0,11.0,5.0,1.0,0.45,0.6,0.56,1.0,0.0,0.0,25.43,17.0,18.02,2.0,0.2,0.56,0.56,1.25,1.33,1.32,19.6,2.02,1.45,4.85,0.78,9.6,7.3,1.84,1.9,1.73,19.0,7.0,6.0,32.0,1.0,3.0,0.0,6.0,2.0,6.0,8.0,18.0,25.0,4.0,8.0,21.0,12.0,3.0,6.0,17.0,6.0,3.0,0.43,0.74,0.84,0.0,1.0,0.0,30.27,26.0,24.73,4.0,0.31,0.66,0.66,1.67,1.58,1.55
84817088482073,2022,Jones-Schneider,NYR,pairing,5on5,11,6597.0,37.0,0.55,0.49,0.51,44.24,4.12,2.92,10.41,1.47,25.72,18.36,4.01,4.1,4.0,42.0,21.0,18.0,81.0,2.0,3.0,1.0,9.0,2.0,25.0,22.0,40.0,61.0,6.0,12.0,46.0,67.0,9.0,17.0,46.0,14.0,3.0,1.59,1.61,0.92,1.0,0.0,1.0,81.95,63.0,63.2,7.0,0.6,0.92,0.92,3.8,3.77,3.68,43.0,3.34,2.84,10.56,1.47,24.68,18.11,3.32,3.38,3.35,40.0,21.0,22.0,83.0,3.0,1.0,0.0,8.0,0.0,22.0,27.0,37.0,58.0,3.0,6.0,36.0,41.0,12.0,14.0,47.0,13.0,1.0,1.57,1.56,0.21,0.0,2.0,1.0,83.21,61.0,61.3,4.0,0.58,0.12,0.12,3.8,3.84,3.81
847634684764328479941,2022,Gaudreau-Jenner-Danforth,CBJ,line,5on5,3,894.0,21.0,0.39,0.46,0.5,7.51,0.6,0.46,1.53,0.22,4.12,3.06,0.6,0.58,0.58,7.0,3.0,1.0,11.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,6.0,9.0,2.0,4.0,12.0,4.0,2.0,0.0,7.0,3.0,0.0,0.31,0.3,0.0,0.0,1.0,0.0,10.43,10.0,9.67,0.0,0.1,0.0,0.0,0.7,0.68,0.67,7.37,0.96,0.52,1.57,0.24,3.84,2.87,0.91,1.0,0.95,6.0,4.0,3.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,6.0,10.0,3.0,6.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,0.12,0.33,0.51,0.0,0.0,0.0,13.8,10.0,10.48,1.0,0.11,0.26,0.26,0.81,0.84,0.82
84745638479998,2022,Anderson-Doughty,LAK,pairing,5on5,15,14263.0,17.0,0.58,0.55,0.53,128.08,11.81,8.36,30.88,4.13,69.06,50.77,11.32,11.97,11.48,128.0,47.0,69.0,244.0,12.0,14.0,1.0,28.0,4.0,58.0,59.0,116.0,163.0,14.0,31.0,133.0,103.0,27.0,33.0,126.0,33.0,16.0,3.25,4.15,4.4,4.0,3.0,5.0,247.59,175.0,178.12,17.0,1.72,3.44,3.44,10.09,10.24,10.13,111.85,8.72,7.31,26.96,3.75,61.92,47.33,8.36,8.71,8.35,101.0,55.0,46.0,202.0,8.0,13.0,1.0,31.0,5.0,50.0,49.0,93.0,148.0,16.0,35.0,97.0,119.0,20.0,26.0,118.0,32.0,6.0,3.17,3.9,1.65,1.0,6.0,1.0,201.97,156.0,155.56,17.0,1.51,1.89,1.89,8.33,8.32,8.05
84768698476958,2022,Slavin-Skjei,CAR,pairing,5on5,11,679.0,67.0,0.75,0.53,0.55,4.82,0.58,0.34,1.1,0.17,1.96,1.84,0.58,0.6,0.6,5.0,1.0,3.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,5.0,6.0,0.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,2.0,0.15,0.0,0.42,0.0,0.0,0.0,9.54,6.0,6.23,1.0,0.08,0.29,0.0,0.65,0.68,0.68,3.54,0.2,0.18,1.22,0.13,1.91,1.38,0.2,0.19,0.19,4.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,5.0,1.0,2.0,6.0,5.0,1.0,0.0,4.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,7.95,5.0,4.88,0.0,0.04,0.0,0.0,0.23,0.23,0.23
84757908478460,2022,Werenski-Gudbranson,CBJ,pairing,5on5,12,2191.0,72.0,0.4,0.38,0.4,19.6,1.78,1.39,5.15,0.73,9.84,8.12,1.76,1.86,1.85,22.0,5.0,7.0,34.0,3.0,1.0,0.0,6.0,0.0,6.0,11.0,19.0,24.0,1.0,2.0,19.0,11.0,5.0,3.0,20.0,4.0,3.0,0.56,0.6,0.62,0.0,3.0,0.0,34.32,27.0,27.43,0.0,0.29,0.21,0.21,1.85,1.96,1.96,29.01,2.67,2.02,7.31,1.03,16.3,10.67,2.42,2.74,2.48,28.0,12.0,16.0,56.0,2.0,6.0,2.0,6.0,2.0,15.0,9.0,26.0,38.0,2.0,4.0,19.0,11.0,7.0,5.0,32.0,5.0,3.0,0.97,0.7,1.0,1.0,1.0,0.0,55.92,40.0,40.56,2.0,0.42,1.36,1.36,1.73,1.73,1.68
84808078482671,2022,Power-Samuelsson,BUF,pairing,5on5,4,871.0,26.0,0.59,0.68,0.63,8.34,0.53,0.54,2.07,0.27,4.95,3.64,0.52,0.58,0.56,8.0,4.0,3.0,15.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,7.0,11.0,0.0,0.0,5.0,5.0,1.0,0.0,10.0,2.0,0.0,0.35,0.18,0.0,1.0,0.0,0.0,16.48,12.0,12.91,0.0,0.11,0.06,0.06,0.59,0.63,0.61,4.66,0.37,0.32,1.01,0.15,3.01,2.15,0.37,0.37,0.37,6.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,6.0,7.0,0.0,0.0,6.0,2.0,0.0,2.0,6.0,1.0,0.0,0.28,0.09,0.0,0.0,0.0,0.0,7.06,7.0,7.06,1.0,0.06,0.0,0.0,0.43,0.44,0.44
847517884808558481711,2022,Maccelli-Mcbain-Kassian,ARI,line,5on5,3,969.0,12.0,0.14,0.26,0.17,2.25,0.15,0.12,0.5,0.06,1.28,0.89,0.15,0.15,0.15,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,11.0,6.0,11.0,3.0,3.0,2.0,1.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,5.79,3.0,2.95,2.0,0.02,0.0,0.0,0.18,0.18,0.18,11.17,0.95,0.84,2.92,0.36,6.02,3.91,0.91,0.95,0.9,11.0,4.0,2.0,17.0,0.0,2.0,0.0,4.0,0.0,2.0,7.0,11.0,15.0,4.0,11.0,10.0,7.0,4.0,3.0,11.0,3.0,1.0,0.31,0.42,0.21,0.0,0.0,0.0,17.42,15.0,15.16,1.0,0.18,0.24,0.24,0.89,0.88,0.86
84734468479398,2022,Girard-Johnson,COL,pairing,5on5,10,4266.0,35.0,0.48,0.51,0.52,33.96,2.4,1.98,8.47,1.14,18.74,15.27,2.38,2.46,2.43,37.0,11.0,19.0,67.0,2.0,2.0,0.0,9.0,0.0,15.0,20.0,35.0,46.0,7.0,16.0,33.0,29.0,2.0,3.0,39.0,8.0,1.0,1.02,0.96,0.43,2.0,0.0,0.0,69.15,48.0,48.92,3.0,0.41,0.62,0.62,2.19,2.23,2.21,31.01,2.58,2.15,7.72,1.24,18.04,13.28,2.51,2.57,2.51,34.0,11.0,20.0,65.0,2.0,4.0,0.0,10.0,0.0,9.0,20.0,32.0,43.0,4.0,8.0,45.0,34.0,9.0,5.0,34.0,10.0,1.0,1.1,1.18,0.3,0.0,2.0,0.0,63.8,45.0,44.48,3.0,0.45,0.52,0.52,2.5,2.48,2.46
847569284779198478864,2022,Kaprizov-Gaudreau-Zuccarello,MIN,line,5on5,8,4469.0,13.0,0.56,0.58,0.58,37.48,2.84,2.43,8.97,1.14,20.64,15.98,2.75,2.93,2.83,38.0,14.0,23.0,75.0,1.0,2.0,0.0,8.0,1.0,18.0,22.0,37.0,51.0,3.0,6.0,37.0,14.0,10.0,12.0,37.0,14.0,1.0,0.97,1.6,0.27,0.0,1.0,0.0,76.99,52.0,53.09,8.0,0.5,0.14,0.14,3.2,3.3,3.19,27.31,2.2,1.61,6.91,1.01,14.25,11.02,2.15,2.2,2.14,25.0,12.0,18.0,55.0,1.0,1.0,0.0,7.0,1.0,10.0,17.0,24.0,36.0,2.0,4.0,37.0,25.0,13.0,17.0,29.0,6.0,2.0,0.78,0.85,0.57,1.0,0.0,0.0,53.65,37.0,36.48,9.0,0.34,0.23,0.23,2.31,2.31,2.28
84740318475764,2022,Fowler-Shattenkirk,ANA,pairing,5on5,13,1089.0,91.0,0.37,0.51,0.5,12.51,0.83,0.62,2.91,0.4,6.35,5.89,0.81,0.85,0.83,14.0,3.0,4.0,21.0,2.0,2.0,1.0,1.0,0.0,5.0,7.0,12.0,15.0,1.0,0.0,2.0,8.0,1.0,4.0,15.0,1.0,1.0,0.41,0.18,0.24,1.0,0.0,1.0,20.87,17.0,17.1,0.0,0.12,0.41,0.41,0.54,0.54,0.54,12.58,1.39,0.94,2.47,0.41,6.84,4.96,1.36,1.42,1.4,13.0,4.0,3.0,20.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,13.0,17.0,1.0,2.0,2.0,11.0,1.0,3.0,10.0,6.0,1.0,0.42,0.68,0.28,0.0,0.0,0.0,20.93,17.0,17.65,2.0,0.2,0.0,0.0,1.59,1.63,1.6
847569284774518478864,2022,Kaprizov-Hartman-Zuccarello,MIN,line,5on5,4,2331.0,7.0,0.59,0.64,0.65,24.33,1.93,1.66,5.93,0.81,13.6,10.06,1.92,1.82,1.81,21.0,13.0,13.0,47.0,2.0,1.0,1.0,6.0,1.0,15.0,9.0,19.0,32.0,3.0,6.0,17.0,9.0,3.0,5.0,24.0,9.0,1.0,0.6,1.11,0.22,0.0,2.0,0.0,44.29,34.0,32.23,1.0,0.34,0.13,0.13,2.15,2.02,2.01,12.98,1.34,0.83,2.97,0.4,7.05,5.41,1.3,1.44,1.39,12.0,6.0,9.0,27.0,5.0,2.0,1.0,2.0,1.0,1.0,7.0,7.0,13.0,2.0,4.0,25.0,13.0,2.0,1.0,12.0,4.0,2.0,0.36,0.41,0.57,2.0,2.0,1.0,29.23,18.0,19.35,1.0,0.17,0.57,0.57,0.95,1.01,0.96
84783998478507,2022,Siegenthaler-Marino,NJD,pairing,5on5,10,622.0,96.0,0.2,0.33,0.38,2.31,0.06,0.09,0.48,0.07,1.04,1.26,0.06,0.07,0.07,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.39,3.0,3.35,0.0,0.02,0.0,0.0,0.08,0.09,0.09,3.11,0.25,0.21,0.64,0.11,2.16,1.63,0.25,0.25,0.25,3.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,3.0,5.0,2.0,0.0,4.0,1.0,0.0,0.17,0.08,0.0,0.0,0.0,0.0,5.9,5.0,4.89,0.0,0.04,0.0,0.0,0.29,0.28,0.28
847531484757548480789,2022,Lee-Nelson-Wahlstrom,NYI,line,5on5,7,1145.0,66.0,0.51,0.5,0.44,10.2,1.09,0.69,2.72,0.44,5.5,3.55,0.99,1.09,0.99,12.0,2.0,7.0,21.0,3.0,3.0,0.0,3.0,0.0,1.0,4.0,9.0,11.0,4.0,8.0,11.0,10.0,0.0,5.0,9.0,4.0,1.0,0.29,0.44,0.36,1.0,2.0,0.0,20.75,14.0,13.94,1.0,0.15,0.52,0.49,0.74,0.73,0.71,11.69,1.06,0.84,2.68,0.41,7.58,5.43,1.04,1.08,1.07,10.0,8.0,3.0,21.0,1.0,1.0,0.0,2.0,0.0,6.0,8.0,9.0,17.0,1.0,2.0,14.0,7.0,1.0,3.0,13.0,5.0,0.0,0.41,0.65,0.0,0.0,1.0,0.0,21.77,18.0,18.62,2.0,0.17,0.16,0.16,1.06,1.1,1.09
847347384757268477496,2022,Lucic-Lindholm-Toffoli,CGY,line,5on5,3,1277.0,8.0,0.58,0.6,0.66,13.87,0.93,0.81,3.61,0.43,7.37,5.85,0.91,0.87,0.85,11.0,8.0,8.0,27.0,2.0,0.0,0.0,3.0,0.0,5.0,9.0,9.0,17.0,1.0,2.0,18.0,18.0,2.0,3.0,17.0,1.0,1.0,0.57,0.15,0.21,1.0,1.0,0.0,24.91,19.0,17.59,1.0,0.17,0.0,0.0,1.1,1.02,1.0,7.11,0.68,0.42,1.88,0.23,3.94,2.85,0.67,0.74,0.73,9.0,1.0,8.0,18.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,7.0,8.0,1.0,2.0,14.0,14.0,2.0,3.0,9.0,0.0,1.0,0.33,0.0,0.34,1.0,0.0,1.0,19.39,10.0,10.71,2.0,0.09,0.34,0.34,0.42,0.45,0.45
84768508480803,2022,Murray-Bouchard,EDM,pairing,5on5,8,2849.0,41.0,0.54,0.54,0.56,31.07,2.66,2.09,7.95,1.1,17.81,12.39,2.57,2.69,2.59,30.0,14.0,8.0,52.0,0.0,1.0,0.0,9.0,2.0,20.0,12.0,30.0,44.0,4.0,8.0,27.0,42.0,8.0,14.0,36.0,6.0,2.0,1.25,0.71,0.7,0.0,0.0,0.0,51.74,44.0,43.77,8.0,0.43,0.49,0.49,2.6,2.57,2.53,24.36,2.23,1.67,6.85,0.96,12.42,9.87,2.16,2.43,2.35,27.0,7.0,10.0,44.0,5.0,2.0,2.0,7.0,1.0,10.0,9.0,22.0,29.0,4.0,8.0,31.0,33.0,6.0,9.0,25.0,7.0,2.0,0.74,0.85,0.64,2.0,1.0,2.0,46.23,34.0,35.77,8.0,0.36,0.64,0.64,1.95,2.1,2.08
84780388481524,2022,Toews-Byram,COL,pairing,5on5,6,651.0,47.0,0.41,0.33,0.6,2.25,0.16,0.12,0.45,0.07,1.22,0.99,0.16,0.17,0.17,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.05,0.11,0.0,0.0,0.0,0.0,3.33,3.0,3.3,2.0,0.02,0.0,0.0,0.18,0.2,0.2,1.53,0.22,0.15,0.2,0.04,0.86,0.53,0.21,0.22,0.21,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,5.82,2.0,2.08,1.0,0.03,0.0,0.0,0.26,0.26,0.24
847468384751648480806,2022,Grant-Lundestrom-Silfverberg,ANA,line,5on5,5,1608.0,29.0,0.25,0.4,0.38,9.64,0.54,0.63,2.15,0.33,5.91,4.44,0.54,0.54,0.54,12.0,2.0,4.0,18.0,1.0,1.0,0.0,2.0,1.0,6.0,3.0,11.0,13.0,2.0,7.0,13.0,7.0,2.0,5.0,11.0,3.0,0.0,0.21,0.33,0.0,0.0,1.0,0.0,17.55,14.0,13.59,5.0,0.13,0.05,0.05,0.62,0.61,0.61,16.25,1.61,1.24,3.49,0.52,9.29,6.85,1.57,1.57,1.53,17.0,6.0,4.0,27.0,3.0,2.0,0.0,3.0,0.0,3.0,12.0,14.0,20.0,2.0,7.0,22.0,9.0,6.0,2.0,15.0,7.0,1.0,0.48,0.89,0.24,2.0,1.0,0.0,26.62,23.0,22.63,1.0,0.26,0.37,0.37,1.5,1.45,1.44
84713038482730,2022,Edler-Clarke,LAK,pairing,5on5,6,2904.0,22.0,0.51,0.45,0.53,24.22,2.33,1.75,4.94,0.72,13.73,9.52,2.31,2.34,2.32,25.0,8.0,11.0,44.0,4.0,1.0,0.0,5.0,1.0,11.0,11.0,21.0,29.0,8.0,16.0,23.0,18.0,5.0,4.0,22.0,9.0,2.0,0.72,1.13,0.47,1.0,2.0,1.0,44.87,33.0,33.51,3.0,0.36,0.22,0.22,2.48,2.49,2.46,21.34,2.21,1.48,4.81,0.64,11.32,8.54,2.08,2.21,2.08,22.0,7.0,24.0,53.0,6.0,2.0,0.0,4.0,0.0,8.0,9.0,16.0,23.0,4.0,8.0,19.0,31.0,2.0,5.0,21.0,5.0,3.0,0.65,0.6,0.96,5.0,1.0,0.0,51.89,29.0,28.6,5.0,0.31,0.56,0.56,1.95,1.96,1.92
847682684792938483524,2022,Tanev-Gourde-Wright,SEA,line,5on5,2,922.0,5.0,0.42,0.24,0.3,4.06,0.23,0.22,1.09,0.15,2.41,1.9,0.23,0.25,0.25,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,4.0,7.0,6.0,0.0,1.0,5.0,1.0,0.0,0.12,0.11,0.0,1.0,1.0,0.0,6.44,6.0,6.36,1.0,0.04,0.0,0.0,0.27,0.3,0.3,9.38,0.31,0.56,2.48,0.33,5.76,4.56,0.3,0.29,0.28,7.0,7.0,5.0,19.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,7.0,14.0,1.0,2.0,9.0,16.0,0.0,1.0,13.0,1.0,0.0,0.23,0.08,0.0,0.0,0.0,0.0,17.89,14.0,13.26,0.0,0.11,0.0,0.0,0.42,0.4,0.38
84745688475171,2022,Ekman-Larsson-Schenn,VAN,pairing,5on5,8,613.0,70.0,0.96,0.8,0.8,9.03,1.11,0.69,1.97,0.31,4.69,3.22,1.02,1.17,1.06,10.0,2.0,4.0,16.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,9.0,11.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,3.0,1.0,0.28,0.47,0.37,0.0,1.0,0.0,16.71,12.0,12.52,0.0,0.14,0.55,0.55,0.71,0.73,0.71,1.98,0.04,0.12,0.52,0.06,1.24,1.02,0.04,0.04,0.04,3.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,4.0,7.0,6.0,0.0,1.0,3.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.95,3.0,2.98,1.0,0.02,0.0,0.0,0.06,0.06,0.06
847747684774928478420,2022,Lehkonen-Mackinnon-Rantanen,COL,line,5on5,11,6795.0,16.0,0.57,0.57,0.55,74.09,6.35,5.01,18.03,2.43,41.28,29.9,6.14,6.53,6.32,77.0,26.0,43.0,146.0,4.0,5.0,0.0,15.0,2.0,43.0,34.0,73.0,99.0,5.0,10.0,64.0,39.0,17.0,11.0,74.0,24.0,5.0,2.08,2.85,1.42,1.0,3.0,0.0,151.84,103.0,106.26,7.0,1.03,1.1,1.1,6.28,6.46,6.31,62.79,4.78,4.01,15.31,2.07,34.72,25.1,4.57,4.6,4.41,65.0,21.0,26.0,112.0,1.0,4.0,0.0,12.0,1.0,36.0,32.0,64.0,85.0,10.0,20.0,78.0,37.0,16.0,8.0,69.0,12.0,5.0,2.0,1.58,1.2,1.0,0.0,0.0,107.46,86.0,82.43,5.0,0.83,0.77,0.77,4.85,4.68,4.61
84716868478055,2022,Forsling-Staal,FLA,pairing,5on5,8,839.0,64.0,0.67,0.57,0.6,8.42,0.68,0.62,2.04,0.29,4.78,3.6,0.67,0.68,0.67,8.0,4.0,1.0,13.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,7.0,11.0,1.0,2.0,6.0,4.0,0.0,1.0,9.0,3.0,0.0,0.35,0.33,0.0,1.0,0.0,0.0,12.76,12.0,11.86,1.0,0.13,0.06,0.06,0.75,0.74,0.74,5.43,0.33,0.36,1.44,0.24,3.26,2.38,0.33,0.33,0.33,3.0,5.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,8.0,1.0,2.0,4.0,3.0,0.0,2.0,7.0,1.0,0.0,0.2,0.13,0.0,0.0,0.0,0.0,10.26,8.0,8.16,2.0,0.07,0.0,0.0,0.4,0.4,0.4
847458684757688482665,2022,Schwartz-Beniers-Eberle,SEA,line,5on5,11,6908.0,28.0,0.55,0.49,0.49,51.35,5.06,3.55,12.04,1.7,26.71,19.94,4.91,5.07,4.93,44.0,25.0,24.0,93.0,5.0,4.0,0.0,7.0,1.0,18.0,34.0,39.0,64.0,5.0,10.0,48.0,37.0,19.0,16.0,45.0,20.0,4.0,1.14,2.66,1.26,2.0,3.0,0.0,95.24,69.0,70.05,7.0,0.74,1.26,1.38,4.42,4.45,4.42,49.74,4.18,3.34,11.47,1.59,28.87,21.54,4.14,4.21,4.17,44.0,27.0,26.0,97.0,8.0,4.0,0.0,7.0,1.0,27.0,24.0,36.0,63.0,9.0,18.0,62.0,53.0,15.0,19.0,55.0,12.0,4.0,1.71,1.52,0.95,2.0,3.0,3.0,94.46,71.0,69.95,9.0,0.69,0.46,0.46,4.4,4.41,4.39
84757538478859,2022,Mikkola-Faulk,STL,pairing,5on5,8,646.0,61.0,0.37,0.33,0.46,4.1,0.24,0.26,0.93,0.12,2.59,1.85,0.24,0.26,0.26,3.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,0.0,1.0,7.0,0.0,3.0,5.0,1.0,0.0,0.16,0.08,0.0,1.0,0.0,0.0,7.28,6.0,6.35,2.0,0.05,0.0,0.0,0.3,0.31,0.31,4.81,0.42,0.28,1.29,0.18,2.77,2.07,0.42,0.4,0.4,5.0,2.0,7.0,14.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,7.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,2.0,0.0,0.15,0.27,0.0,0.0,0.0,0.0,13.74,7.0,6.85,1.0,0.06,0.0,0.0,0.47,0.45,0.45
847637484796718480853,2022,Foudy-Kuraly-Olivier,CBJ,line,5on5,3,769.0,13.0,0.32,0.45,0.38,4.15,0.33,0.29,1.1,0.14,2.35,1.79,0.33,0.32,0.32,5.0,1.0,4.0,10.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,6.0,1.0,5.0,4.0,6.0,0.0,1.0,5.0,0.0,1.0,0.06,0.0,0.27,0.0,0.0,0.0,9.5,6.0,5.74,0.0,0.06,0.27,0.27,0.12,0.12,0.11,7.2,0.7,0.46,1.7,0.21,3.99,2.93,0.7,0.75,0.75,5.0,5.0,2.0,12.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,3.0,8.0,1.0,5.0,10.0,4.0,0.0,0.0,8.0,1.0,1.0,0.22,0.19,0.3,2.0,0.0,0.0,13.61,10.0,10.65,0.0,0.1,0.0,0.0,0.8,0.85,0.85
847793384779358478870,2022,Balcers-Bennett-Reinhart,FLA,line,5on5,4,1668.0,13.0,0.78,0.63,0.64,20.18,2.87,1.42,5.17,0.77,9.76,7.01,2.75,2.89,2.77,23.0,4.0,6.0,33.0,0.0,5.0,0.0,3.0,1.0,13.0,5.0,23.0,27.0,4.0,8.0,16.0,13.0,1.0,10.0,17.0,3.0,7.0,0.51,0.31,2.05,0.0,0.0,0.0,33.37,27.0,27.37,6.0,0.3,1.63,1.63,1.55,1.54,1.49,11.14,0.79,0.62,2.7,0.33,5.96,4.6,0.76,0.79,0.76,12.0,3.0,4.0,19.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,11.0,14.0,3.0,6.0,20.0,23.0,0.0,5.0,12.0,2.0,1.0,0.24,0.27,0.28,0.0,0.0,1.0,19.14,15.0,15.02,3.0,0.13,0.28,0.28,0.64,0.63,0.63
847745084780438480025,2022,Dickinson-Lafferty-Entwistle,CHI,line,5on5,3,1723.0,9.0,0.17,0.35,0.37,7.61,0.26,0.45,2.15,0.26,4.8,3.08,0.25,0.24,0.24,8.0,3.0,3.0,14.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,8.0,11.0,0.0,0.0,12.0,16.0,3.0,7.0,10.0,1.0,0.0,0.17,0.09,0.0,0.0,0.0,0.0,13.27,11.0,10.46,6.0,0.09,0.0,0.0,0.34,0.33,0.32,13.57,1.24,0.86,3.03,0.44,7.51,5.92,1.14,1.28,1.18,15.0,4.0,7.0,26.0,0.0,1.0,0.0,2.0,0.0,9.0,7.0,15.0,19.0,1.0,2.0,12.0,16.0,4.0,4.0,13.0,5.0,1.0,0.36,0.59,0.29,0.0,0.0,0.0,27.05,19.0,19.44,4.0,0.18,0.15,0.15,1.26,1.3,1.21
